player,moving_from,moving_to,fee,date,register_country
Vicenza,Salernitana,Loan,,Mattia Vitale,Italy
Palermo,Zulte Waregem,Loan,,Salim Diakité,Italy
Thomas Berenbruch,Inter,Avellino,Loan,18 August 2026,Italy
Cesena,Torres,Loan,,Mamadou Kebbeh,Italy
Sassuolo,Cesena,Loan,,Luca D'Andrea,Italy
Como,Südtirol,Loan,,Fabio Rispoli,Italy
Roma,Benevento,Loan,,Luigi Cherubini,Italy
Tottenham,Juventus,Loan,,Guglielmo Vicario,Italy
Milan,Toulouse,Loan,,David Odogu,Italy
Torino,Modena,Loan,,Wisdom Acquah,Italy
Venezia,Verona,Undisclosed,,Nunzio Lella,Italy
Raków,Verona,Free,,Paweł Dawidowicz,Italy
Monza,Raków,Undisclosed,,Arvid Brorsson,Italy
Arezzo,Perugia,Loan,,Matteo Cortesi,Italy
Lanús,Parma,Loan,,Thomás de Martis,Italy
Rodrigo Mora,Porto,Roma,Undisclosed,19 August 2026,Italy
Cesena,Reggiana,Undisclosed,,Michele Castagnetti,Italy
Roma,Carrarese,Loan,,Filippo Reale,Italy
Pisa,Union Berlin,Undisclosed,,Michel Aebischer,Italy
Catanzaro,Napoli,Loan,,Costantino Favasuli,Italy
Virtus Entella,Juve Stabia,Undisclosed,,Nermin Karić,Italy
Strasbourg,Milan,Undisclosed,,Diego Moreira,Italy
Carrarese,Lecce,Undisclosed,,Marco Bleve,Italy
Sampdoria,Ascoli,Free,,Matteo Ricci,Italy
Parma,Benfica,Undisclosed,,Alessandro Circati,Italy
Fenerbahçe,Frosinone,Undisclosed,,Omar Fayed,Italy
Udinese,Red Star,Undisclosed,,Leonardo Buta,Italy
Como,Sporting Gijón,Undisclosed,,Andrés Cuenca,Italy
Frosinone,Verona,Undisclosed,,Alessandro Luchetti,Italy
Cheikh Niasse,Verona,Gençlerbirliği,Loan,20 August 2026,Italy
Verona,Istra,Loan,,Isaac,Italy
Monza,Pisa,Undisclosed,,Andrea Petagna,Italy
Cesena,Grosseto,Undisclosed,,Enea Pitti,Italy
Cesena,Ravenna,Undisclosed,,Giovanni Zaro,Italy
Frosinone,Cesena,Loan,,Jacopo Gelli,Italy
Juventus,Catanzaro,Undisclosed,,Emanuele Pecorino,Italy
Atalanta,Catanzaro,Undisclosed,,Samuel Giovane,Italy
Südtirol,Juve Stabia,Loan,,Nicola Pietrangeli,Italy
Niccolò Fortini,Fiorentina,Torino,Loan,21 August 2026,Italy
Sassuolo,Padova,Loan,,Luca Moro,Italy
Pisa,Monza,Undisclosed,,Idrissa Touré,Italy
Juve Stabia,Potenza,Loan,,Matheus Luz,Italy
Pisa,Juve Stabia,Loan,,Ante Vuković,Italy
Liverpool,Inter,Undisclosed,,Curtis Jones,Italy
Union SG,Sassuolo,Loan,,Fedde Leysen,Italy
Parma,Nantes,Undisclosed,,Antoine Joujou,Italy
Como,Cagliari,Loan,,Alieu Fadera,Italy
Atalanta,Mantova,Loan,,Vanja Vlahović,Italy
Cremonese,Internacional,Undisclosed,,Antonio Sanabria,Italy
Frosinone,Spezia,Free,,Sergio Kalaj,Italy
Torino,Pro Vercelli,Loan,,Aaron Ciammaglichella,Italy
Eljif Elmas,RB Leipzig,Atalanta,Loan,22 August 2026,Italy
Chelsea,Napoli,Loan,,Benoît Badiashile,Italy
Ajax,Lazio,Loan,,Josip Šutalo,Italy
Udinese,Ajax,Loan,,Abdoulaye Camara,Italy
Adam Buksa,Udinese,Mallorca,Loan,23 August 2026,Italy
Venezia,Sporting Gijón,Loan,,Antonio Casas,Italy
Tommaso Bordoni,Padova,Lecco,Loan,24 August 2026,Italy
Spezia,Virtus Entella,Undisclosed,,Luca Vignali,Italy
Preston,Genoa,Undisclosed,,Milutin Osmajić,Italy
Marco Dalla Vecchia,Torino,Cesena,Loan,25 August 2026,Italy
Cagliari,Albacete,Loan,,Agustín Albarracín,Italy
Juventus,Bournemouth,Loan,,Michele Di Gregorio,Italy
Sampdoria,Salernitana,Free,,Antonino La Gumina,Italy
Cesena,Salernitana,Loan,,Simone Pieraccini,Italy
Napoli,Lorient,Loan,,Nosa Obaretin,Italy
Wolfsburg,Juventus,Loan,,Kamil Grabara,Italy
Troyes,Lecce,Undisclosed,,Amar Fatah,Italy
Montpellier,Frosinone,Undisclosed,,Enzo Tchato,Italy
Frosinone,Spezia,Loan,,Jérémy Oyono,Italy
Como,Inter U23,Undisclosed,,Tommaso Fumagalli,Italy
Milan,Leipzig,Loan,,Christopher Nkunku,Italy
Mattia Perin,Juventus,Palermo,Undisclosed,26 August 2026,Italy
Villarreal,Como,Loan,,Willy Kambwala,Italy
Campobasso,Arezzo,Undisclosed,,Davide Mancini,Italy
Arezzo,Campobasso,Undisclosed,,Lorenzo Coccia,Italy
Cagliari,Racing Santander,Loan,,Matteo Prati,Italy
Frosinone,Crotone,Loan,,Filippo Grosso,Italy
Genoa,Shakhtar Donetsk,Undisclosed,,Alan Matturro,Italy
Frosinone,Empoli,Loan,,Niccolò Corrado,Italy
Empoli,Trento,Undisclosed,,Andrea Sodero,Italy
Juve Stabia,Casertana,Loan,,Enrico Piovanello,Italy
Juve Stabia,Caaniaa,Undisclosed,,Emanuele Torrasi,Italy
Cagliari,Avellino,Loan,,Sebastiano Di Paolo,Italy
Avellino,Casarano,Undisclosed,,Cosimo Patierno,Italy
Palermo,Ascoli,Loan,,Matteo Brunori,Italy
Andrea Pinamonti,Sassuolo,Lazio,Undisclosed,27 August 2026,Italy
Südtirol,Carrarese,Undisclosed,,Jacopo Martini,Italy
Inter,Carrarese,Loan,,Luka Topalović,Italy
Torino,Lecce,Loan,,Ivan Ilić,Italy
Samsunspor,Sampdoria,Loan,,Antoine Makoumbou,Italy
Steaua București,Frosinone,Loan,,Daniel Bîrligea,Italy
Lazio,Padova,Undisclosed,,Gabriele Artistico,Italy
Carrarese,Desenzano,Loan,,Filippo Liberati,Italy
Elia Tantalocchi,Sampdoria,Vicenza,Undisclosed,28 August 2026,Italy
Vicenza,Como,Undisclosed,,Ettore Broggian,Italy
Monza,Carrarese,Loan,,Semuel Pizzignacco,Italy
Carrarese,Catanzaro,Undisclosed,,Marco Imperiale,Italy
Catanzaro,Carrarese,Loan,,Gonçalo Esteves,Italy
Cagliari,Verona,Loan,,Gabriele Zappa,Italy
Napoli,Crotone,Loan,,Lorenzo Russo,Italy
Napoli,Avellino,Undisclosed,,Walid Cheddira,Italy
Pisa,Al-Fateh,Undisclosed,,Adrian Šemper,Italy
Lech Poznań,Udinese,Undisclosed,,Bartosz Mrozek,Italy
Fiorentina,Parma,Loan,,Giovanni Fabbian,Italy
Napoli,Monza,Loan,,Cyril Ngonge,Italy
Parma,Mantova,Loan,,Rachid Kouda,Italy
Como,Leganés,Loan,,Álvaro Morata,Italy
Verona,Charleroi,Undisclosed,,Luca Monticelli,Italy
Sassuolo,Sabadell,Loan,,Patrick Nuamah,Italy
Juventus,Beşiktaş,Loan,,Fabio Miretti,Italy
Lechia Gdańsk,Frosinone,Undisclosed,,Tomáš Bobček,Italy
Catanzaro,Perugia,Loan,,Sayha Seha,Italy
Charlys,Verona,Inter U23,Loan,29 August 2026,Italy
Como,Palermo,Loan,,Alessandro Gabrielloni,Italy
Leeds,Torino,Loan,,Lucas Perri,Italy
Torino,Olympiacos,Undisclosed,,Marcus Holmgren Pedersen,Italy
Al-Ahli,Atalanta,Free,,Franck Kessié,Italy
Sassuolo,Cagliari,Loan,,Riccardo Ciervo,Italy
Cagliari,Sassuolo,Loan,,Sebastiano Esposito,Italy
Milan,Como,Loan,,Samuele Ricci,Italy
Inter,Al Jazira,Loan,,Kristjan Asllani,Italy
Arezzo,Lecco,Loan,,Alessandro Capello,Italy
Padova,Sorrento,Undisclosed,,Jacopo Bacci,Italy
Vis Pesaro,Pisa,Undisclosed,,Alessandro Carnaroli,Italy
Rafael Leão,Milan,Galatasaray,€38M,30 August 2026,Italy
OM,Roma,Loan,,Leonardo Balerdi,Italy
Eintracht Frankfurt,Bologna,Loan,,Arthur Theate,Italy
Atalanta,Roma,Undisclosed,,Marten de Roon,Italy
Como,Sassuolo,Loan,,Ignace Van Der Brempt,Italy
Venezia,Cesena,Loan,,Emil Bohinen,Italy
Torino,Fiorentina,Undisclosed,,Alieu Njie,Italy
Fiorentina,Mantova,Loan,,Eman Košpo,Italy
Mantova,Cittadella,Undisclosed,,Davis Mensah,Italy
Catanzaro,Pisa,Undisclosed,,Filippo Pittarello,Italy
Pisa,Derby County,Loan,,Henrik Meister,Italy
Juventus Next Gen,Cremonese,Loan,,Adin Ličina,Italy
Parma,Västerås,Undisclosed,,Peter Amoran,Italy
Tommaso Macchioni,Sassuolo,Carrarese,Loan,31 August 2026,Italy
Sassuolo,Avellino,Loan,,Filippo Missori,Italy
Roma,Monza,Loan,,Jan Ziółkowski,Italy
Inter,Cagliari,Loan,,Yanis Massolin,Italy
Bari,Juve Stabia,Undisclosed,,Giuseppe Sibilli,Italy
Verona,Cagliari,Free,,Roberto Gagliardini,Italy
Young Boys,Lecce,Undisclosed,,Joël Monteiro,Italy
Midtjylland,Sampdoria,Free,,Kevin Mbabu,Italy
Juventus,Santos,Free,,Arthur Melo,Italy
Unattached,Venezia,Free,,Juan Jesus,Italy
Napoli,Venezia,Loan,,Pasquale Mazzocchi,Italy
Sassuolo,Audace Cerignola,Loan,,Kevin Miranda,Italy
Sassuolo,Catania,Undisclosed,,Fabrizio Caligara,Italy
Como,Monza,Loan,,Noel Törnqvist,Italy
Palermo,Troyes,Loan,,Jérémy Le Douaron,Italy
Milan,Porto,Loan,,Santiago Giménez,Italy
Nottingham Forest,Milan,Loan,,Omari Hutchinson,Italy
Carrarese,Pescara,Loan,,Vincenzo Fiorillo,Italy
Rafik Belghali,Verona,Torino,Undisclosed,1 September 2026,Italy
Vicenza,Sampdoria,Undisclosed,,Samuele Massolo,Italy
Spezia,Empoli,Undisclosed,,Filippo Bandinelli,Italy
Catanzaro,Audace Cerignola,Undisclosed,,Giovanni Volpe,Italy
Genoa,Racing Santander,Undisclosed,,Aarón Martín,Italy
Lyon,Sassuolo,Undisclosed,,Duje Ćaleta-Car,Italy
Atalanta,Sassuolo,Loan,,Ibrahim Sulemana,Italy
Parma,Westerlo,Undisclosed,,Botond Balogh,Italy
Venezia,Heerenveen,Undisclosed,,Marko Farji,Italy
Stuttgart,Udinese,Loan,,Lazar Jovanović,Italy
Sampdoria,Carrarese,Free,,Nicola Ravaglia,Italy
Sampdoria,Parma,Undisclosed,,Simone Ghidotti,Italy
Sampdoria,Roma,Loan,,Lorenzo Paratici,Italy
Monza,Sampdoria,Loan,,Filippo Delli Carri,Italy
Monza,Padova,Loan,,Nicolas Galazzi,Italy
Bologna,Lumezzane,Loan,,Tommaso Ravaglioli,Italy
Crvena zvezda,Bologna,Undisclosed,,Jay Enem,Italy
Sassuolo,Verona,Loan,,Edoardo Iannoni,Italy
Südtirol,Ravenna,Loan,,Daniele Casiraghi,Italy
Juve Stabia,Crotone,Undisclosed,,Cristian Andreoni,Italy
Cesena,Arezzo,Loan,,Marco Olivieri,Italy
Benevento,Scafatese,Undisclosed,,Antonio Ferrara,Italy
Virtus Entella,Lecco,Loan,,Matteo Casarotto,Italy
Lecco,Virtus Entella,Loan,,Marwane Kritta,Italy
Fenerbahçe,Parma,Loan,,Diego Carlos,Italy
Cremonese,Modena,Loan,,Francesco Folino,Italy
Pisa,Carrarese,Loan,,Nicholas Bonfanti,Italy
Atalanta,Juve Stabia,Loan,,Paolo Vismara,Italy
Vicenza,Bari,Undisclosed,,Matteo Della Morte,Italy
Vicenza,Reggiana,Undisclosed,,Michele Cavion,Italy
Empoli,Inter U23,Loan,,Lorenzo Tosto,Italy
Empoli,Bari,Undisclosed,,Flavio Bianchi,Italy
Udinese,Vancouver Whitecaps,Undisclosed,,Rui Modesto,Italy
Fiorentina,Cagliari,Undisclosed,,M'Bala Nzola,Italy
Southampton,Cagliari,Undisclosed,,Yukinari Sugawara,Italy
Parma,Celtic,Loan,,Oliver Sørensen,Italy
Juventus,Atlético Madrid,Loan,,Jonathan David,Italy
Newcastle,Juventus,Loan,,Nick Woltemade,Italy
Milan,Sevilla,Loan,,Youssouf Fofana,Italy
Milan,Südtirol,Loan,,Kevin Zeroli,Italy
Como,Getafe,Loan,,Iván Azón,Italy
Como,Rayo Vallecano,Loan,,Emil Audero,Italy
Como,Carrarese,Undisclosed,,Matthias Braunöder,Italy
Chelsea,Como,Loan,,Robert Sánchez,Italy
Fiorentina,Como,Loan,,Moise Kean,Italy
Lazio,Levante,Loan,,Petar Ratkov,Italy
Lazio,Rennes,Loan,,Boulaye Dia,Italy
Fiorentina,Lazio,Loan,,Albert Guðmundsson,Italy
Roma,RB Leipzig,Loan,,Neil El Aynaoui,Italy
Roma,Hull City,Loan,,Robinio Vaz,Italy
Hull City,Genoa,Undisclosed,,Cody Drameh,Italy
Napoli,Málaga,Loan,,Jens Cajuste,Italy
Napoli,RB Salzburg,Loan,,Jesper Lindstrøm,Italy
Torino,Red Star,Loan,,Côme Bianay Balcot,Italy
Torino,Forlì,Loan,,Tommaso Gabellini,Italy
Torino,Südtirol,Loan,,Mattia Pellini,Italy
Udinese,Monza,Loan,,Saba Goglichidze,Italy
Boca Juniors,Monza,Undisclosed,,Exequiel Zeballos,Italy
Everton,Fiorentina,Undisclosed,,Beto,Italy
Leeds,Fiorentina,Loan,,Wilfried Gnonto,Italy
Sporting,Fiorentina,Loan,,Pedro Gonçalves,Italy
Empoli,Novara,Undisclosed,,Federico Brancolini,Italy
Sporting,Torino,Loan,,Daniel Bragança,Italy
Atalanta,Bologna,Undisclosed,,Federico Cassa,Italy
Werder Bremen,Bologna,Loan,,Samuel Mbangula,Italy
Bologna,Atalanta,Loan,,Jonathan Rowe,Italy
Cagliari,Catania,Loan,,Nicolò Cavuoti,Italy
Avellino,Catania,Undisclosed,,Roberto Insigne,Italy
Como,Borussia Mönchengladbach,Loan,,Nicolas Kühn,Italy
Elfsborg,Venezia,Loan,,Rufai Mohammed,Italy
Barcelona,Venezia,Loan,,Toni Fernández,Italy
Lecce,Grenoble,Loan,,Owen Kouassi,Italy
Radomlje,Catanzaro,Loan,,Andrej Pogačar,Italy
Catanzaro,Crotone,Loan,,Ervin Bashi,Italy
Stephan El Shaarawy,Unattached,Genoa,Free,2 September 2026,Italy
Cagliari,Servette,Loan,,Kingstone Mutandwa,Italy
Ricardo Rodriguez,Unattached,Torino,Free,3 September 2026,Italy
Pisa,Sint-Truiden,Loan,,Jeremy Mbambi,Italy
Pisa,Górnik Zabrze,Undisclosed,,Malthe Højholt,Italy
Unattached,Vicenza,Free,,Fabrizio Bagheria,Italy
Unattached,Genoa,Free,,Kingsley Ehizibue,Italy
Unattached,Carrarese,Free,,Colin Dagba,Italy
Lazio,Al Sadd,Undisclosed,,Alessio Romagnoli,Italy
Ilias Koutsoupias,Frosinone,Frosinone,Loan,4 September 2026,Italy
Avellino,Leuven,Loan,,Alessandro Fontanarosa,Italy
Nathaniel Brown,Eintracht Frankfurt,Bayern Munich,fromEintracht Frankfurt,Summer 2026,Germany
Ismael Saibari,PSV,Bayern Munich,fromPSV,Summer 2026,Germany
Bara Sapoko Ndiaye,Gambinos Stars,Bayern Munich,"from Gambinos Stars, previously on loan",Summer 2026,Germany
Noël Aséko Nkili,Hannover 96,Bayern Munich,fromHannover 96,Summer 2026,Germany
Leon Goretzka,Bayern Munich,Aston Villa,toAston Villa,Summer 2026,Germany
Nicolas Jackson,Bayern Munich,Chelsea,loan return toChelsea,Summer 2026,Germany
Felipe Chávez,Bayern Munich,1. FC Magdeburg,"on loan to1. FC Magdeburg, previously on loan at1. FC Köln",Summer 2026,Germany
Arijon Ibrahimović,Bayern Munich,FC Augsburg,"on loan toFC Augsburg, previously on loan at1. FC Heidenheim",Summer 2026,Germany
Bryan Zaragoza,Bayern Munich,Espanyol,"on loan toEspanyol, previously on loan atRoma",Summer 2026,Germany
Noël Aséko Nkili,Bayern Munich,Eintracht Frankfurt,toEintracht Frankfurt,Summer 2026,Germany
Daniel Peretz,Bayern Munich,Southampton,"toSouthampton, previously on loan",Summer 2026,Germany
Alexander Nübel,Bayern Munich,Beşiktaş,"toBeşiktaş, previously on loan atVfB Stuttgart",Summer 2026,Germany
Noël Aséko Nkili,Bayern Munich,Hannover 96,"toHannover 96, previously on loan",Summer 2026,Germany
João Palhinha,Bayern Munich,Benfica,"toBenfica, previously on loan atTottenham Hotspur",Summer 2026,Germany
Lovro Zvonarek,Bayern Munich,Estrela da Amadora,"toEstrela da Amadora, previously on loan atGrasshopper",Summer 2026,Germany
Maurice Krattenmacher,Bayern Munich,SV Elversberg,"toSV Elversberg, previously on loan atHertha BSC",Summer 2026,Germany
Armindo Sieb,Bayern Munich,Los Angeles FC,"toLos Angeles FC, previously on loan atMainz 05",Summer 2026,Germany
Ethan Nwaneri,Arsenal,Borussia Dortmund,"on loan fromArsenal, previously on loan atMarseille",Summer 2026,Germany
Konstantinos Karetsas,Genk,Borussia Dortmund,fromGenk,Summer 2026,Germany
Joane Gadou,Red Bull Salzburg,Borussia Dortmund,fromRed Bull Salzburg,Summer 2026,Germany
Joey Veerman,PSV,Borussia Dortmund,fromPSV,Summer 2026,Germany
Justin Lerma,Independiente del Valle,Borussia Dortmund,fromIndependiente del Valle,Summer 2026,Germany
Kauã Prates,Cruzeiro,Borussia Dortmund,fromCruzeiro,Summer 2026,Germany
Giannis Konstantelias,PAOK,Borussia Dortmund,fromPAOK,Summer 2026,Germany
Yan Couto,Borussia Dortmund,Como,on loan toComo,Summer 2026,Germany
Salih Özcan,Borussia Dortmund,Beşiktaş,toBeşiktaş,Summer 2026,Germany
Julian Brandt,Borussia Dortmund,Ajax,toAjax,Summer 2026,Germany
Niklas Süle,Borussia Dortmund,SV Tiefenbach,to SV Tiefenbach,Summer 2026,Germany
Karim Adeyemi,Borussia Dortmund,Barcelona,toBarcelona,Summer 2026,Germany
Almugera Kabar,Borussia Dortmund,NEC,on loan toNEC,Summer 2026,Germany
Diant Ramaj,Borussia Dortmund,Copenhagen,"on loan toCopenhagen, previously on loan at1. FC Heidenheim",Summer 2026,Germany
Kjell Wätjen,Borussia Dortmund,Midtjylland,"toMidtjylland, previously on loan atVfL Bochum",Summer 2026,Germany
Cole Campbell,Borussia Dortmund,SV Elversberg,"toSV Elversberg, previously on loan atTSG Hoffenheim",Summer 2026,Germany
Julien Duranville,Borussia Dortmund,Lyon,"toLyon, previously on loan atBasel",Summer 2026,Germany
Ørjan Nyland,Sevilla,RB Leipzig,fromSevilla,Summer 2026,Germany
Maxime Estève,Burnley,RB Leipzig,fromBurnley,Summer 2026,Germany
Marc Guiu,Chelsea,RB Leipzig,fromChelsea,Summer 2026,Germany
Rocco Reitz,Borussia Mönchengladbach,RB Leipzig,fromBorussia Mönchengladbach,Summer 2026,Germany
Neil El Aynaoui,Roma,RB Leipzig,on loan fromRoma,Summer 2026,Germany
Christopher Nkunku,AC Milan,RB Leipzig,on loan fromAC Milan,Summer 2026,Germany
Ota Yamamoto,RB Omiya Ardija,RB Leipzig,fromRB Omiya Ardija,Summer 2026,Germany
Péter Gulácsi,RB Leipzig,Villarreal,toVillarreal,Summer 2026,Germany
El Chadaille Bitshiabu,RB Leipzig,Galatasaray,on loan toGalatasaray,Summer 2026,Germany
Conrad Harder,RB Leipzig,Strasbourg,on loan toStrasbourg,Summer 2026,Germany
Kosta Nedeljković,RB Leipzig,Aston Villa,loan return toAston Villa,Summer 2026,Germany
Ayodele Thomas,RB Leipzig,NEC,toNEC,Summer 2026,Germany
Xaver Schlager,RB Leipzig,Nottingham Forest,toNottingham Forest,Summer 2026,Germany
Yan Diomande,RB Leipzig,Real Madrid,toReal Madrid,Summer 2026,Germany
Ota Yamamoto,RB Leipzig,RB Omiya Ardija,on loan toRB Omiya Ardija,Summer 2026,Germany
Timo Schlieck,RB Leipzig,SC Verl,"on loan toSC Verl, previously on loan atGreuther Fürth",Summer 2026,Germany
Lutsharel Geertruida,RB Leipzig,PSV,"on loan toPSV, previously on loan atSunderland",Summer 2026,Germany
Joyeux Masanka Bungi,RB Leipzig,VfB Stuttgart II,"on loan toVfB Stuttgart II, previously on loan atNew York Red Bulls",Summer 2026,Germany
Arthur Vermeeren,RB Leipzig,Royal Antwerp,"on loan toRoyal Antwerp, previously on loan atMarseille",Summer 2026,Germany
Frederik Jäkel,RB Leipzig,Eintracht Braunschweig,"toEintracht Braunschweig, previously on loan",Summer 2026,Germany
Jonathan Norbye,RB Leipzig,Haugesund,"toHaugesund, previously on loan atFredrikstad",Summer 2026,Germany
Loïs Openda,RB Leipzig,Juventus,"toJuventus, previously on loan",Summer 2026,Germany
Robert Ramšak,RB Leipzig,Aluminij,"toAluminij, previously on loan atSV Sandhausen",Summer 2026,Germany
Bilal El Khannouss,Leicester City,VfB Stuttgart,"fromLeicester City, previously on loan",Summer 2026,Germany
Dženan Pejčinović,VfL Wolfsburg,VfB Stuttgart,fromVfL Wolfsburg,Summer 2026,Germany
Grischa Prömel,TSG Hoffenheim,VfB Stuttgart,fromTSG Hoffenheim,Summer 2026,Germany
Marius Funk,Energie Cottbus,VfB Stuttgart,fromEnergie Cottbus,Summer 2026,Germany
Leo Sauer,Feyenoord,VfB Stuttgart,fromFeyenoord,Summer 2026,Germany
Noah Darvich,VfB Stuttgart,SV Elversberg,on loan toSV Elversberg,Summer 2026,Germany
Chema Andrés,VfB Stuttgart,Brighton & Hove Albion,toBrighton & Hove Albion,Summer 2026,Germany
Alexander Nübel,VfB Stuttgart,Bayern Munich,loan return toBayern Munich,Summer 2026,Germany
Mirza Ćatović,VfB Stuttgart,Barcelona Atlètic,on loan toBarcelona Atlètic,Summer 2026,Germany
Florian Hellstern,VfB Stuttgart,Greuther Fürth,on loan toGreuther Fürth,Summer 2026,Germany
Lazar Jovanović,VfB Stuttgart,Udinese,toUdinese,Summer 2026,Germany
Laurin Ulrich,VfB Stuttgart,SC Paderborn,"on loan toSC Paderborn, previously on loan at1. FC Magdeburg",Summer 2026,Germany
Jovan Milošević,VfB Stuttgart,Braga,"toBraga, previously on loan atWerder Bremen",Summer 2026,Germany
Sean Dulic,1860 Munich,TSG Hoffenheim,from1860 Munich,Summer 2026,Germany
Patrick Wimmer,VfL Wolfsburg,TSG Hoffenheim,fromVfL Wolfsburg,Summer 2026,Germany
Adam Daghim,Red Bull Salzburg,TSG Hoffenheim,"fromRed Bull Salzburg, previously on loan atVfL Wolfsburg",Summer 2026,Germany
Nathan De Cat,Anderlecht,TSG Hoffenheim,fromAnderlecht,Summer 2026,Germany
Cajetan Lenz,VfL Bochum,TSG Hoffenheim,fromVfL Bochum,Summer 2026,Germany
Mats Rots,Twente,TSG Hoffenheim,fromTwente,Summer 2026,Germany
Alessandro Vogt,St. Gallen,TSG Hoffenheim,fromSt. Gallen,Summer 2026,Germany
Muhammed Damar,TSG Hoffenheim,VfL Wolfsburg,toVfL Wolfsburg,Summer 2026,Germany
Cole Campbell,TSG Hoffenheim,Borussia Dortmund,loan return toBorussia Dortmund,Summer 2026,Germany
Bazoumana Touré,TSG Hoffenheim,Newcastle United,toNewcastle United,Summer 2026,Germany
Yannick Eduardo,TSG Hoffenheim,ADO Den Haag,on loan toADO Den Haag,Summer 2026,Germany
Deniz Zeitler,TSG Hoffenheim,SC Paderborn,on loan toSC Paderborn,Summer 2026,Germany
Kelven Frees,TSG Hoffenheim,1. FC Kaiserslautern,on loan to1. FC Kaiserslautern,Summer 2026,Germany
Luka Đurić,TSG Hoffenheim,SC Paderborn,toSC Paderborn,Summer 2026,Germany
Luca Erlein,TSG Hoffenheim,Bayer Leverkusen,toBayer Leverkusen,Summer 2026,Germany
Alessandro Vogt,TSG Hoffenheim,1. FC Heidenheim,on loan to1. FC Heidenheim,Summer 2026,Germany
Nahuel Noll,TSG Hoffenheim,SC Paderborn,"on loan toSC Paderborn, previously on loan atHannover 96",Summer 2026,Germany
Umut Tohumcu,TSG Hoffenheim,Red Bull Salzburg,"on loan toRed Bull Salzburg, previously on loan atHolstein Kiel",Summer 2026,Germany
Gift Orban,TSG Hoffenheim,Amedspor,"on loan toAmedspor, previously on loan atHellas Verona",Summer 2026,Germany
Precious Benjamin,TSG Hoffenheim,Austria Lustenau,"on loan toAustria Lustenau, previously on loan atSCR Altach",Summer 2026,Germany
Erencan Yardımcı,TSG Hoffenheim,1. FC Kaiserslautern,"on loan to1. FC Kaiserslautern, previously on loan atEintracht Braunschweig",Summer 2026,Germany
Stanley Nsoki,TSG Hoffenheim,Union Berlin,"toUnion Berlin, previously on loan",Summer 2026,Germany
Attila Szalai,TSG Hoffenheim,Pogoń Szczecin,"toPogoń Szczecin, previously on loan",Summer 2026,Germany
Hennes Behrens,TSG Hoffenheim,FC Augsburg,"toFC Augsburg, previously on loan at1. FC Heidenheim",Summer 2026,Germany
Dennis Geiger,TSG Hoffenheim,NEC,"toNEC, previously on loan atAberdeen",Summer 2026,Germany
Haris Tabaković,TSG Hoffenheim,Red Bull Salzburg,"toRed Bull Salzburg, previously on loan atBorussia Mönchengladbach",Summer 2026,Germany
Facundo Medina,Marseille,Bayer Leverkusen,fromMarseille,Summer 2026,Germany
Afonso Moreira,Lyon,Bayer Leverkusen,fromLyon,Summer 2026,Germany
Kennet Eichhorn,Hertha BSC,Bayer Leverkusen,fromHertha BSC,Summer 2026,Germany
Kerim Alajbegović,Red Bull Salzburg,Bayer Leverkusen,fromRed Bull Salzburg,Summer 2026,Germany
Ndjicoura Bomba,CS Bamako,Bayer Leverkusen,from CS Bamako,Summer 2026,Germany
Jonas Omlin,Bayer Leverkusen,Borussia Mönchengladbach,loan return toBorussia Mönchengladbach,Summer 2026,Germany
Ernest Poku,Bayer Leverkusen,Beşiktaş,on loan toBeşiktaş,Summer 2026,Germany
Álex Grimaldo,Bayer Leverkusen,Atlético Madrid,toAtlético Madrid,Summer 2026,Germany
Exequiel Palacios,Bayer Leverkusen,Ipswich Town,toIpswich Town,Summer 2026,Germany
Issa Traoré,Bayer Leverkusen,Trenčín,on loan toTrenčín,Summer 2026,Germany
Luca Erlein,Bayer Leverkusen,Energie Cottbus,on loan toEnergie Cottbus,Summer 2026,Germany
Abdoulaye Faye,Bayer Leverkusen,Celta Vigo,"on loan toCelta Vigo, previously on loan atLorient",Summer 2026,Germany
Noah Mbamba,Bayer Leverkusen,Lorient,"on loan toLorient, previously on loan atDender",Summer 2026,Germany
Francis Onyeka,Bayer Leverkusen,SV Elversberg,"on loan toSV Elversberg, previously on loan atVfL Bochum",Summer 2026,Germany
Farid Alfa-Ruprecht,Bayer Leverkusen,Hertha BSC,"on loan toHertha BSC, previously on loan atVfL Bochum",Summer 2026,Germany
Matěj Kovář,Bayer Leverkusen,PSV,"toPSV, previously on loan",Summer 2026,Germany
Piero Hincapié,Bayer Leverkusen,Arsenal,"toArsenal, previously on loan",Summer 2026,Germany
Alejo Sarco,Bayer Leverkusen,Sporting Gijón,"toSporting Gijón, previously on loan atBorussia Mönchengladbach",Summer 2026,Germany
Mio Backhaus,Werder Bremen,SC Freiburg,fromWerder Bremen,Summer 2026,Germany
Yannik Engelhardt,Como,SC Freiburg,"fromComo, previously on loan atBorussia Mönchengladbach",Summer 2026,Germany
Rihito Yamamoto,Sint-Truiden,SC Freiburg,fromSint-Truiden,Summer 2026,Germany
Keisuke Gotō,Anderlecht,SC Freiburg,"fromAnderlecht, previously on loan atSint-Truiden",Summer 2026,Germany
Daniel-Kofi Kyereh,SC Freiburg,VfL Osnabrück,toVfL Osnabrück,Summer 2026,Germany
Karl Steinmann,SC Freiburg,Hannover 96,on loan toHannover 96,Summer 2026,Germany
